[10:16:09:426028][kernel\qobject.cpp:2151->err_method_notfound]	QObject::connect: No such slot PicPreviewPan::delete_image() in ..\VodPlayInterface\picpreviewpan.cpp:34
[10:16:24:963917][..\VodPlayInterface\netcaptureir.cpp:68->on_receive]	delay 0 : 0 
[10:16:24:963917][..\VodPlayInterface\netcaptureir.cpp:68->on_receive]	delay 0 : 0 
[10:16:24:964917][..\VodPlayInterface\netcaptureir.cpp:68->on_receive]	delay 0 : 0 
[10:16:24:964917][..\VodPlayInterface\netcaptureir.cpp:68->on_receive]	delay 0 : 0 
[10:16:24:964917][..\VodPlayInterface\netcaptureir.cpp:68->on_receive]	delay 0 : 0 
[10:16:24:964917][..\VodPlayInterface\netcaptureir.cpp:68->on_receive]	delay 0 : 0 
[10:16:25:014920][..\VodPlayInterface\netcaptureir.cpp:68->on_receive]	delay 0 : 0 
[10:16:25:068923][..\VodPlayInterface\netcaptureir.cpp:68->on_receive]	delay 0 : 0 
[10:16:25:115926][..\VodPlayInterface\netcaptureir.cpp:68->on_receive]	delay 0 : 0 
[10:16:25:162928][..\VodPlayInterface\netcaptureir.cpp:68->on_receive]	delay 0 : 0 
[10:16:25:163928][..\VodPlayInterface\netcaptureir.cpp:68->on_receive]	delay 0 : 0 
[10:16:25:163928][..\VodPlayInterface\netcaptureir.cpp:68->on_receive]	delay 0 : 0 
[10:16:25:163928][..\VodPlayInterface\netcaptureir.cpp:68->on_receive]	delay 0 : 0 
[10:16:25:165928][..\VodPlayInterface\netcaptureir.cpp:68->on_receive]	delay 0 : 0 
[10:16:25:165928][..\VodPlayInterface\netcaptureir.cpp:68->on_receive]	delay 0 : 0 
[10:16:25:165928][..\VodPlayInterface\netcaptureir.cpp:68->on_receive]	delay 0 : 0 
[10:16:25:165928][..\VodPlayInterface\netcaptureir.cpp:68->on_receive]	delay 0 : 0 
[10:16:25:165928][..\VodPlayInterface\netcaptureir.cpp:68->on_receive]	delay 0 : 0 
[10:16:25:165928][..\VodPlayInterface\netcaptureir.cpp:68->on_receive]	delay 0 : 0 
[10:16:25:214931][..\VodPlayInterface\netcaptureir.cpp:68->on_receive]	delay 0 : 0 
[10:16:25:214931][..\VodPlayInterface\netcaptureir.cpp:68->on_receive]	delay 0 : 0 
[10:16:25:214931][..\VodPlayInterface\netcaptureir.cpp:68->on_receive]	delay 0 : 0 
[10:16:25:214931][..\VodPlayInterface\netcaptureir.cpp:68->on_receive]	delay 0 : 0 
[10:16:25:214931][..\VodPlayInterface\netcaptureir.cpp:68->on_receive]	delay 0 : 0 
[10:16:25:288935][..\VodPlayInterface\netcaptureir.cpp:68->on_receive]	delay 0 : 0 
[10:16:25:288935][..\VodPlayInterface\netcaptureir.cpp:68->on_receive]	delay 0 : 0 
[10:16:25:288935][..\VodPlayInterface\netcaptureir.cpp:68->on_receive]	delay 0 : 0 
[10:16:25:289935][..\VodPlayInterface\netcaptureir.cpp:68->on_receive]	delay 0 : 0 
[10:16:25:290936][..\VodPlayInterface\netcaptureir.cpp:68->on_receive]	delay 0 : 0 
[10:16:25:290936][..\VodPlayInterface\netcaptureir.cpp:68->on_receive]	delay 0 : 0 
[10:16:25:291936][..\VodPlayInterface\netcaptureir.cpp:68->on_receive]	delay 0 : 1000 
[10:16:25:291936][..\VodPlayInterface\netcaptureir.cpp:68->on_receive]	delay 0 : 0 
[10:16:25:291936][..\VodPlayInterface\netcaptureir.cpp:68->on_receive]	delay 0 : 0 
[10:16:25:346939][..\VodPlayInterface\netcaptureir.cpp:68->on_receive]	delay 0 : 0 
[10:16:25:346939][..\VodPlayInterface\netcaptureir.cpp:68->on_receive]	delay 0 : 0 
[10:16:25:403942][..\VodPlayInterface\netcaptureir.cpp:68->on_receive]	delay 0 : 0 
[10:16:25:405942][..\VodPlayInterface\netcaptureir.cpp:68->on_receive]	delay 0 : 0 
[10:16:25:405942][..\VodPlayInterface\netcaptureir.cpp:68->on_receive]	delay 0 : 0 
[10:16:25:453945][..\VodPlayInterface\netcaptureir.cpp:68->on_receive]	delay 0 : 0 
[10:16:25:453945][..\VodPlayInterface\netcaptureir.cpp:68->on_receive]	delay 0 : 0 
[10:16:25:453945][..\VodPlayInterface\netcaptureir.cpp:68->on_receive]	delay 0 : 0 
[10:16:25:504948][..\VodPlayInterface\netcaptureir.cpp:68->on_receive]	delay 0 : 1000 
[10:16:25:504948][..\VodPlayInterface\netcaptureir.cpp:68->on_receive]	delay 0 : 0 
[10:16:25:504948][..\VodPlayInterface\netcaptureir.cpp:68->on_receive]	delay 0 : 0 
[10:16:25:504948][..\VodPlayInterface\netcaptureir.cpp:68->on_receive]	delay 0 : 0 
[10:16:25:555951][..\VodPlayInterface\netcaptureir.cpp:68->on_receive]	delay 0 : 0 
[10:16:25:555951][..\VodPlayInterface\netcaptureir.cpp:68->on_receive]	delay 0 : 0 
[10:16:25:555951][..\VodPlayInterface\netcaptureir.cpp:68->on_receive]	delay 0 : 0 
[10:16:25:555951][..\VodPlayInterface\netcaptureir.cpp:68->on_receive]	delay 0 : 0 
[10:16:25:556951][..\VodPlayInterface\netcaptureir.cpp:68->on_receive]	delay 0 : 1000 
[10:16:25:604953][..\VodPlayInterface\netcaptureir.cpp:68->on_receive]	delay 0 : 0 
[10:16:25:605954][..\VodPlayInterface\netcaptureir.cpp:68->on_receive]	delay 0 : 0 
[10:16:25:605954][..\VodPlayInterface\netcaptureir.cpp:68->on_receive]	delay 0 : 0 
[10:16:25:606954][..\VodPlayInterface\netcaptureir.cpp:68->on_receive]	delay 0 : 0 
[10:16:25:606954][..\VodPlayInterface\netcaptureir.cpp:68->on_receive]	delay 0 : 0 
[10:16:25:606954][..\VodPlayInterface\netcaptureir.cpp:68->on_receive]	delay 0 : 0 
[10:16:25:607954][..\VodPlayInterface\netcaptureir.cpp:68->on_receive]	delay 0 : 0 
[10:16:25:607954][..\VodPlayInterface\netcaptureir.cpp:68->on_receive]	delay 0 : 0 
[10:16:25:607954][..\VodPlayInterface\netcaptureir.cpp:68->on_receive]	delay 0 : 0 
[10:16:25:664957][..\VodPlayInterface\netcaptureir.cpp:68->on_receive]	delay 0 : 0 
[10:16:25:664957][..\VodPlayInterface\netcaptureir.cpp:68->on_receive]	delay 0 : 0 
[10:16:25:664957][..\VodPlayInterface\netcaptureir.cpp:68->on_receive]	delay 0 : 0 
[10:16:25:721960][..\VodPlayInterface\netcaptureir.cpp:68->on_receive]	delay 0 : 0 
[10:16:25:721960][..\VodPlayInterface\netcaptureir.cpp:68->on_receive]	delay 0 : 0 
[10:16:25:767963][..\VodPlayInterface\netcaptureir.cpp:68->on_receive]	delay 0 : 0 
[10:16:25:768963][..\VodPlayInterface\netcaptureir.cpp:68->on_receive]	delay 0 : 1000 
[10:16:25:768963][..\VodPlayInterface\netcaptureir.cpp:68->on_receive]	delay 0 : 0 
[10:16:25:848967][..\VodPlayInterface\netcaptureir.cpp:68->on_receive]	delay 0 : 0 
[10:16:25:850968][..\VodPlayInterface\netcaptureir.cpp:68->on_receive]	delay 0 : 0 
[10:16:25:890970][..\VodPlayInterface\netcaptureir.cpp:68->on_receive]	delay 0 : 0 
[10:16:25:893970][..\VodPlayInterface\netcaptureir.cpp:68->on_receive]	delay 0 : 3000 
[10:16:25:924972][..\VodPlayInterface\netcaptureir.cpp:68->on_receive]	delay 0 : 1000 
[10:16:25:924972][..\VodPlayInterface\netcaptureir.cpp:68->on_receive]	delay 0 : 0 
[10:16:25:924972][..\VodPlayInterface\netcaptureir.cpp:68->on_receive]	delay 0 : 0 
[10:16:25:924972][..\VodPlayInterface\netcaptureir.cpp:68->on_receive]	delay 0 : 0 
[10:16:25:925972][..\VodPlayInterface\netcaptureir.cpp:68->on_receive]	delay 0 : 0 
[10:16:25:926972][..\VodPlayInterface\netcaptureir.cpp:68->on_receive]	delay 0 : 0 
[10:16:25:927972][..\VodPlayInterface\netcaptureir.cpp:68->on_receive]	delay 0 : 1000 
[10:16:25:927972][..\VodPlayInterface\netcaptureir.cpp:68->on_receive]	delay 0 : 0 
[10:16:25:994976][..\VodPlayInterface\netcaptureir.cpp:68->on_receive]	delay 0 : 0 
[10:16:25:994976][..\VodPlayInterface\netcaptureir.cpp:68->on_receive]	delay 0 : 0 
[10:16:26:045979][..\VodPlayInterface\netcaptureir.cpp:68->on_receive]	delay 0 : 0 
[10:16:26:067980][..\VodPlayInterface\netcaptureir.cpp:68->on_receive]	delay 0 : 0 
[10:16:26:124983][..\VodPlayInterface\netcaptureir.cpp:68->on_receive]	delay 0 : 0 
[10:16:26:124983][..\VodPlayInterface\netcaptureir.cpp:68->on_receive]	delay 0 : 0 
[10:16:26:124983][..\VodPlayInterface\netcaptureir.cpp:68->on_receive]	delay 0 : 0 
[10:16:26:145984][..\VodPlayInterface\netcaptureir.cpp:68->on_receive]	delay 0 : 0 
[10:16:26:145984][..\VodPlayInterface\netcaptureir.cpp:68->on_receive]	delay 0 : 0 
[10:16:26:195987][..\VodPlayInterface\netcaptureir.cpp:68->on_receive]	delay 0 : 0 
[10:16:26:195987][..\VodPlayInterface\netcaptureir.cpp:68->on_receive]	delay 0 : 0 
[10:16:26:195987][..\VodPlayInterface\netcaptureir.cpp:68->on_receive]	delay 0 : 0 
[10:16:26:195987][..\VodPlayInterface\netcaptureir.cpp:68->on_receive]	delay 0 : 0 
[10:16:26:195987][..\VodPlayInterface\netcaptureir.cpp:68->on_receive]	delay 0 : 0 
[10:16:26:195987][..\VodPlayInterface\netcaptureir.cpp:68->on_receive]	delay 0 : 0 
[10:16:26:196987][..\VodPlayInterface\netcaptureir.cpp:68->on_receive]	delay 0 : 0 
[10:16:26:269992][..\VodPlayInterface\netcaptureir.cpp:68->on_receive]	delay 0 : 0 
[10:16:26:271992][..\VodPlayInterface\netcaptureir.cpp:68->on_receive]	delay 0 : 1000 
[10:16:26:271992][..\VodPlayInterface\netcaptureir.cpp:68->on_receive]	delay 0 : 0 
[10:16:26:329995][..\VodPlayInterface\netcaptureir.cpp:68->on_receive]	delay 0 : 0 
[10:16:26:343996][..\VodPlayInterface\netcaptureir.cpp:68->on_receive]	delay 0 : 0 
[10:16:26:364997][..\VodPlayInterface\netcaptureir.cpp:68->on_receive]	delay 0 : 0 
[10:16:26:364997][..\VodPlayInterface\netcaptureir.cpp:68->on_receive]	delay 0 : 0 
[10:16:26:412000][..\VodPlayInterface\netcaptureir.cpp:68->on_receive]	delay 0 : 0 
[10:16:26:412000][..\VodPlayInterface\netcaptureir.cpp:68->on_receive]	delay 0 : 0 
[10:16:26:412000][..\VodPlayInterface\netcaptureir.cpp:68->on_receive]	delay 0 : 0 
[10:16:26:587010][..\VodPlayInterface\netcaptureir.cpp:68->on_receive]	delay 0 : 1000 
[10:16:26:596010][..\VodPlayInterface\netcaptureir.cpp:68->on_receive]	delay 0 : 0 
[10:16:26:602011][..\VodPlayInterface\netcaptureir.cpp:68->on_receive]	delay 0 : 0 
[10:16:26:634012][..\VodPlayInterface\netcaptureir.cpp:68->on_receive]	delay 0 : 0 
[10:16:26:634012][..\VodPlayInterface\netcaptureir.cpp:68->on_receive]	delay 0 : 0 
[10:16:26:634012][..\VodPlayInterface\netcaptureir.cpp:68->on_receive]	delay 0 : 0 
[10:16:26:634012][..\VodPlayInterface\netcaptureir.cpp:68->on_receive]	delay 0 : 0 
[10:16:26:634012][..\VodPlayInterface\netcaptureir.cpp:68->on_receive]	delay 0 : 0 
[10:16:26:635012][..\VodPlayInterface\netcaptureir.cpp:68->on_receive]	delay 0 : 1000 
[10:16:26:635012][..\VodPlayInterface\netcaptureir.cpp:68->on_receive]	delay 0 : 0 
[10:16:26:635012][..\VodPlayInterface\netcaptureir.cpp:68->on_receive]	delay 0 : 0 
[10:16:26:635012][..\VodPlayInterface\netcaptureir.cpp:68->on_receive]	delay 0 : 0 
[10:16:26:635012][..\VodPlayInterface\netcaptureir.cpp:68->on_receive]	delay 0 : 0 
[10:16:26:635012][..\VodPlayInterface\netcaptureir.cpp:68->on_receive]	delay 0 : 0 
[10:16:26:635012][..\VodPlayInterface\netcaptureir.cpp:68->on_receive]	delay 0 : 0 
[10:16:26:635012][..\VodPlayInterface\netcaptureir.cpp:68->on_receive]	delay 0 : 0 
[10:16:26:636012][..\VodPlayInterface\netcaptureir.cpp:68->on_receive]	delay 0 : 0 
[10:16:26:636012][..\VodPlayInterface\netcaptureir.cpp:68->on_receive]	delay 0 : 0 
[10:16:26:636012][..\VodPlayInterface\netcaptureir.cpp:68->on_receive]	delay 0 : 0 
[10:16:26:636012][..\VodPlayInterface\netcaptureir.cpp:68->on_receive]	delay 0 : 0 
[10:16:26:636012][..\VodPlayInterface\netcaptureir.cpp:68->on_receive]	delay 0 : 0 
[10:16:26:636012][..\VodPlayInterface\netcaptureir.cpp:68->on_receive]	delay 0 : 0 
[10:16:26:636012][..\VodPlayInterface\netcaptureir.cpp:68->on_receive]	delay 0 : 0 
[10:16:26:636012][..\VodPlayInterface\netcaptureir.cpp:68->on_receive]	delay 0 : 0 
